BuildToolName,BuildToolVersion
dotnet sdk, 8.0.400
dotnet sdk, patch
msbuild-sdks MSBuild.Sdk.Extras, 3.0.44
msbuild-sdks Microsoft.Build.Traversal, 4.1.0
msbuild-sdks Microsoft.Build.NoTargets, 3.7.56
msbuild-sdks Xamarin.Legacy.Sdk, 0.2.0-alpha4
Mono JIT compiler, 6.12.0.188 (2020-02/ca8abcb6bc4 Thu Oct 13 14:26:22 EDT 2022)
nuget, 6.3.1.1
private-api-tools,1.0.3
xamarin.androidbinderator.tool,0.5.7
Gradle, 8.10.2
Kotlin, 1.9.24
Groovy, 3.0.22
Ant, Apache Ant(TM) version 1.10.14 compiled on August 16 2023
JVM, Launcher   11.0.24 (Eclipse Adoptium 11.0.24+8)
JVM, Daemon     /Users/runner/hostedtoolcache/Java_Temurin-Hotspot_jdk/11.0.24-8/x64/Contents/Home (no JDK specified, using current Java home)
openjdk, 11.0.24 2024-07-16
javac, 11.0.24
